,precision,recall,f1-score,support
normal,0.7241379310344828,0.5526315789473685,0.6268656716417911,38.0
pneumonia,0.34615384615384615,0.5294117647058824,0.41860465116279066,17.0
accuracy,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
macro avg,0.5351458885941645,0.5410216718266254,0.5227351614022908,55.0
weighted avg,0.6073064866168314,0.5454545454545455,0.5624940834937364,55.0
